SUPPLIER,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
SOUTHERN WINE & SPIRITS OF MARYLAND,7.81,3.0,2.0
SPADA ENTERPRISES INC,1.95,0.0,0.0
SPAINS BEST BEERS INC,12.5,14.0,181.0
SPLINTER GROUP NAPA LLC,18.349999999999998,34.0,0.0
ST KILLIAN IMPORTING CO INC,642.6500000000001,742.96,1355.5
ST RICE WINE INC,24.830000000000002,24.0,397.0
STARR HILL BREWERY LLC,294.82000000000005,329.0,2346.75
STE MICHELLE WINE ESTATES,7828.860000000001,8655.260000000004,6627.01
STEFANO INCORPORATED,304.06999999999994,324.01000000000005,208.0
STELLAR IMPORTING CO LLC,49.99000000000001,48.0,0.0
STOLI GROUP (USA) LLC,2036.7399999999996,2188.66,250.83
SUBARASHII KUDAMONO CO INC,4.85,2.0,0.0
SUGARLOAF MOUNTAIN SUNLIGHT VINEYARD LLC,61.45999999999998,23.92,11.0
SUGARLOAF MOUNTAIN VINEYARD LLC,1.21,0.0,0.0
SURVILLE ENTERPRISES CORP,1153.5900000000008,1244.7700000000004,1024.75
SUTTER HOME WINERY INC,10522.609999999993,11208.730000000001,22063.840000000004
SWEETWATER BREWING COMPANY LLC,292.79,323.0,949.5
TAP26MD LLC,0.0,0.0,426.0
TERRAPIN BEER COMPANY,161.75,159.0,746.25
TESTA WINES OF THE WORLD LTD,72.57999999999991,36.42,303.0
THE BROOKLYN BREWERY CORPORATION,513.8700000000001,572.0,1768.0
THE EDRINGTON GROUP USA LLC,2686.0599999999986,2918.26,57.84
THE HESS COLLECTION,522.2400000000001,507.34000000000003,470.83
THE RIVER WINE,0.73,1.0,17.0
THE SANDY BOTTOM ENTERPRISES LLC,9.77,24.0,0.0
THE SPANISH WINE IMPORTERS LLC,7.010000000000002,9.0,189.0
THE TRITON COLLECTION,0.0,5.0,0.0
THE TRITON COLLECTION INC,86.45999999999991,68.58,559.42
THE VINERY LLC,30.360000000000003,60.0,145.0
THE WINE GROUP,25758.15000000003,28462.049999999996,26603.78
THE WINE SOURCE INC,0.9,0.0,173.0
THREE HENS LLC T/A TENTH HARVEST,7.060000000000001,5.0,21.0
THREE STARS BREWING COMPANY LLC,0.99,0.0,1995.5
TI BEVERAGE GROUP LTD,31.42999999999999,16.090000000000003,34.0
TRADEWINDS SPECIALTY IMPORTS LLC,8.030000000000001,4.34,706.79
TREANA WINERY LLC,79.32999999999998,51.92,87.0
TREASURY WINE ESTATES AMERICAS COMPANY,16701.419999999976,18061.289999999994,12591.68
TREFETHEN VINEYARDS,178.87000000000003,162.42999999999998,30.0
TRI-VIN IMPORTS,1014.6100000000015,1010.2699999999998,4134.040000000001
TRICANA SHIPPERS & IMPORT,81.23999999999997,57.93000000000001,183.41
UNITED STATES BEVERAGE,168.49,187.0,747.75
UNITED STATES DISTILLED PRODUCTS,2133.6600000000008,2240.42,628.83
URUGUAY IMPORTS LTD,0.24,0.0,0.0
